month,dem,rep,other,all
2021-01-01,355522,208305,180662,744489
2021-02-01,362181,210180,186077,758438
2021-03-01,362734,210033,187096,759863
2021-04-01,363213,210025,187486,760724
2021-05-01,363062,209632,187642,760336
2021-06-01,362851,209377,187852,760080
2021-07-01,362739,209201,187928,759868
2021-08-01,357982,206908,185064,749954
2021-09-01,357778,206708,185031,749517
2021-10-01,358114,206885,185440,750439
2021-11-01,358698,207203,186015,751916
2021-12-01,359054,207454,186538,753046
2022-01-01,359413,207655,186957,754025
2022-02-01,359356,207690,187189,754235
2022-03-01,359824,208102,187634,755560
2022-04-01,360474,208586,188265,757325
2022-05-01,361099,209166,188706,758971
2022-06-01,361788,209941,189016,760745
2022-07-01,361394,209208,188723,759325
2022-08-01,361332,209037,188906,759275
2022-09-01,362002,209358,189428,760788
2022-10-01,362992,210480,189757,763229
2022-11-01,363463,211039,190263,764765
2022-12-01,364125,211623,190767,766515
2023-01-01,367566,212837,193791,774194
2023-02-01,368701,213725,195403,777829
2023-03-01,368430,213551,195650,777631
2023-04-01,364360,211246,193582,769188
2023-05-01,364009,211103,193731,768843
2023-06-01,357984,208650,191619,758253
2023-07-01,357585,208483,192927,758995
2023-08-01,357071,208177,195611,760859
2023-09-01,356433,207875,198353,762661
2023-10-01,355700,207488,201892,765080
2023-11-01,354927,207162,204125,766214
2023-12-01,354210,206885,206570,767665
2024-01-01,353229,206596,209153,768978
2024-02-01,352542,206859,210962,770363
2024-03-01,352272,206839,213173,772284
2024-04-01,351700,206438,215417,773555
2024-05-01,350955,205909,217772,774636
2024-06-01,350551,205492,219930,775973
2024-07-01,350328,205368,221980,777676
2024-08-01,350359,205252,223898,779509
2024-09-01,351454,205687,225354,782495
2024-10-01,353212,206770,226595,786577
2024-11-01,354417,208948,227590,790955
2024-12-01,354302,209723,230883,794908
2025-01-01,353693,209574,233567,796834
2025-02-01,353054,209406,237288,799748
2025-03-01,352544,209367,253008,814919
2025-04-01,352063,209316,254263,815642
2025-05-01,351273,209038,256518,816829
2025-06-01,337318,202810,253956,794084
2025-07-01,336612,202403,256202,795217
2025-08-01,336179,202297,258671,797147
2025-09-01,335813,202191,260306,798310
2025-10-01,334999,202188,262394,799581
2025-11-01,334324,202007,264516,800847
